ts,datetime_bj_str,hour_bj_str,hostid,type,mod,value,tag
1782835200000,2026-07-01 00:00:00,2026-07-01 00:00:00,host003,disk,sda_write,280043.0,disk_rw_sectors
1782835500000,2026-07-01 00:05:00,2026-07-01 00:00:00,host008,disk,sda_write,242357.0,disk_rw_sectors
1782835800000,2026-07-01 00:10:00,2026-07-01 00:00:00,host013,disk,sdc_avgrq,989.52,disk_other_metric
1782836100000,2026-07-01 00:15:00,2026-07-01 00:00:00,host018,disk,sde_write,358935.0,disk_rw_sectors
1782836400000,2026-07-01 00:20:00,2026-07-01 00:00:00,host011,disk,sdd_rqm,114.52,disk_rqm_per_sec
1782836700000,2026-07-01 00:25:00,2026-07-01 00:00:00,host002,disk,sda_await,20.12,disk_latency_ms
1782837000000,2026-07-01 00:30:00,2026-07-01 00:00:00,host003,disk,sdd_write,478746.0,disk_rw_sectors
1782837300000,2026-07-01 00:35:00,2026-07-01 00:00:00,host019,disk,sda_await,10.71,disk_latency_ms
1782837600000,2026-07-01 00:40:00,2026-07-01 00:00:00,host016,disk,sda_util,88.47,disk_util_percent
1782837900000,2026-07-01 00:45:00,2026-07-01 00:00:00,host015,disk,sde_read,138873.0,disk_rw_sectors
1782838200000,2026-07-01 00:50:00,2026-07-01 00:00:00,host005,disk,sda_avgrq,744.99,disk_other_metric
1782838500000,2026-07-01 00:55:00,2026-07-01 00:00:00,host018,disk,sdb_avgrq,747.01,disk_other_metric
1782838800000,2026-07-01 01:00:00,2026-07-01 01:00:00,host014,disk,sda_util,36.2,disk_util_percent
1782839100000,2026-07-01 01:05:00,2026-07-01 01:00:00,host005,disk,sdc_svctm,24.73,disk_latency_ms
1782839400000,2026-07-01 01:10:00,2026-07-01 01:00:00,host002,disk,sdc_read,80132.0,disk_rw_sectors
1782839700000,2026-07-01 01:15:00,2026-07-01 01:00:00,host006,disk,sdc_util,59.64,disk_util_percent
1782840000000,2026-07-01 01:20:00,2026-07-01 01:00:00,host013,disk,sde_await,29.83,disk_latency_ms
1782840300000,2026-07-01 01:25:00,2026-07-01 01:00:00,host015,disk,sdd_svctm,12.65,disk_latency_ms
1782840600000,2026-07-01 01:30:00,2026-07-01 01:00:00,host018,disk,sda_rqm,340.14,disk_rqm_per_sec
1782840900000,2026-07-01 01:35:00,2026-07-01 01:00:00,host004,disk,sde_svctm,37.57,disk_latency_ms
1782841200000,2026-07-01 01:40:00,2026-07-01 01:00:00,host011,disk,sdc_read,153878.0,disk_rw_sectors
1782841500000,2026-07-01 01:45:00,2026-07-01 01:00:00,host014,disk,sda_write,237881.0,disk_rw_sectors
1782841800000,2026-07-01 01:50:00,2026-07-01 01:00:00,host001,disk,sdb_avgrq,971.89,disk_other_metric
1782842100000,2026-07-01 01:55:00,2026-07-01 01:00:00,host006,disk,sdc_svctm,45.64,disk_latency_ms
1782842400000,2026-07-01 02:00:00,2026-07-01 02:00:00,host010,disk,sdc_svctm,30.49,disk_latency_ms
1782842700000,2026-07-01 02:05:00,2026-07-01 02:00:00,host005,disk,sdd_await,38.15,disk_latency_ms
1782843000000,2026-07-01 02:10:00,2026-07-01 02:00:00,host018,disk,sdd_svctm,45.93,disk_latency_ms
1782843300000,2026-07-01 02:15:00,2026-07-01 02:00:00,host020,disk,sda_await,24.48,disk_latency_ms
1782843600000,2026-07-01 02:20:00,2026-07-01 02:00:00,host004,disk,sdd_await,43.95,disk_latency_ms
1782843900000,2026-07-01 02:25:00,2026-07-01 02:00:00,host010,disk,sda_avgrq,57.93,disk_other_metric
